Loan_Status,Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens
Fully_Paid,99999999,Short_Term,741,2231892,8_years,Own_Home,Debt_Consolidation,29200.53,14.9,29,18,1,297996,750090,0,0
Fully_Paid,217646,Short_Term,730,1184194,<_1_year,Home_Mortgage,Debt_Consolidation,10855.08,19.6,10,13,1,122170,272052,1,0
Fully_Paid,548746,Short_Term,678,2559110,2_years,Rent,Debt_Consolidation,18660.28,22.6,33,4,0,437171,555038,0,0
Fully_Paid,99999999,Short_Term,728,714628,3_years,Rent,Debt_Consolidation,11851.06,16,76,16,0,203965,289784,0,0
Fully_Paid,99999999,Short_Term,740,776188,<_1_year,Own_Home,Debt_Consolidation,11578.22,8.5,25,6,0,134083,220220,0,0
Fully_Paid,234124,Short_Term,727,693234,10+_years,Rent,Debt_Consolidation,14211.24,24.7,46,10,1,28291,107052,1,0
Fully_Paid,666204,Long_Term,723,1821967,10+_years,Home_Mortgage,Debt_Consolidation,17612.24,22,34,15,0,813694,2004618,0,0
Not_Paid,317108,Long_Term,687,1133274,8_years,Rent,Debt_Consolidation,9632.81,17.4,53,4,0,60287,126940,0,0
Fully_Paid,465410,Long_Term,688,1722654,3_years,Rent,Buy_House,15647.45,22.3,30,7,0,107559,488356,0,0
Fully_Paid,99999999,Short_Term,746,1749748,10+_years,Home_Mortgage,Debt_Consolidation,19247.19,20,32,17,0,224390,295240,0,0
Fully_Paid,449108,Short_Term,718,1454507,8_years,Home_Mortgage,Debt_Consolidation,13090.43,28.8,21,14,0,193990,458414,0,0
Not_Paid,688468,Long_Term,682,1494616,<_1_year,Rent,Debt_Consolidation,14697.07,16.6,50,8,0,343995,843854,0,0
Fully_Paid,311762,Long_Term,680,2211657,4_years,Home_Mortgage,Debt_Consolidation,44601.74,14.5,15,11,0,213921,509652,0,0
Fully_Paid,129712,Short_Term,723,1465698,10+_years,Own_Home,Debt_Consolidation,18199.15,19.4,6,34,1,45106,163218,0,0
Fully_Paid,287980,Short_Term,737,1013954,<_1_year,Home_Mortgage,Debt_Consolidation,16138.6,18.6,13,11,0,223117,489302,0,0
Not_Paid,219692,Long_Term,6610,527839,10+_years,Rent,Debt_Consolidation,14207.63,17,48,9,0,254277,379918,0,0
Not_Paid,374176,Long_Term,652,1239199,10+_years,Home_Mortgage,Other,5163.25,36.6,42,10,0,126350,415602,0,0
Fully_Paid,99999999,Long_Term,730,2509520,10+_years,Home_Mortgage,Debt_Consolidation,34714.9,40.8,35,12,0,733324,1035496,0,0
Not_Paid,176198,Short_Term,736,1902090,10+_years,Home_Mortgage,Debt_Consolidation,28372.89,15.4,7,9,0,206872,620554,0,0
Fully_Paid,130922,Short_Term,747,2261304,2_years,Rent,Debt_Consolidation,9761.25,16.1,30,6,0,110428,235488,0,0
Fully_Paid,174548,Short_Term,721,1620681,6_years,Rent,Other,30522.74,15,27,7,0,40489,128832,0,0
Not_Paid,290224,Long_Term,644,837045,7_years,Home_Mortgage,Debt_Consolidation,8230.99,18.3,10,11,0,176624,370480,0,0
Fully_Paid,718784,Long_Term,672,1648915,10+_years,Home_Mortgage,Debt_Consolidation,15664.74,12,5,10,0,252016,489610,0,0
Fully_Paid,602008,Long_Term,741,2896721,2_years,Own_Home,Debt_Consolidation,48278.62,19.6,32,17,0,5246261,11887678,0,0
Fully_Paid,171248,Short_Term,747,3035725,10+_years,Home_Mortgage,Debt_Consolidation,42500.15,31.5,17,11,0,25460,151140,0,0
Fully_Paid,323466,Long_Term,699,2048618,6_years,Home_Mortgage,Debt_Consolidation,27997.64,14,72,19,1,389994,743952,1,0
